Location,Prices_per_year (₦ or $),Bedrooms,Baths,Toilets
Ikeja Gra Ikeja Lagos,"₦ 1,300,000,000",,,
Atlantic View Estate Igbo Efon Lekki Lagos,"₦ 2,500,000",2.0,2.0,3.0
Old Ikoyi Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,4.0
Old Ikoyi Ikoyi Lagos,"₦ 16,000,000",4.0,4.0,5.0
Old Ikoyi Ikoyi Lagos,"₦ 12,000,000",3.0,3.0,4.0
Ikoyi Lagos,"₦ 18,000,000",4.0,4.0,5.0
Ikoyi Lagos,"₦ 23,000,000",4.0,4.0,5.0
Ikoyi Lagos,"₦ 6,500,000",2.0,2.0,2.0
Ikoyi Lagos,"₦ 13,000,000",4.0,4.0,5.0
Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,4.0
Banana Island Estate Ikoyi Lagos,"₦ 28,000,000",4.0,4.0,5.0
Old Ikoyi Ikoyi Lagos,"₦ 16,000,000",4.0,4.0,5.0
Adeola Odeku Victoria Island Lagos,"$ 150,000",5.0,5.0,6.0
Off Awolowo Road Ikoyi Ikoyi S.w Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,4.0
Ago Palace Okota Lagos,"₦ 1,500,000",2.0,2.0,3.0
Amuwo Odofin Lagos,"₦ 2,200,000",3.0,,
Central Ikoyi Ikoyi Lagos,"₦ 7,500,000",0.0,0.0,0.0
Banana Island Estate Ikoyi Lagos,"₦ 27,000,000",4.0,4.0,5.0
Banana Island Ikoyi Lagos,"$ 20,000",3.0,3.0,4.0
Old Ikoyi Ikoyi Lagos,"₦ 13,000,000",4.0,4.0,5.0
Off Adeola Odeku Street Victoria Island Lagos,"₦ 15,000,000",3.0,3.0,4.0
Parkview Estate Ikoyi Lagos,"₦ 9,000,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 28,000,000",4.0,4.0,5.0
Banana Island Ikoyi Lagos,"₦ 15,000,000",4.0,4.0,5.0
Banana Island Estate Ikoyi Lagos,"₦ 22,000,000",4.0,4.0,0.0
Banana Island Estate Ikoyi Lagos,"₦ 8,000,000",3.0,2.0,3.0
Ikoyi Lagos,"₦ 30,000,000",4.0,4.0,5.0
Ikoyi Lagos,"₦ 22,000,000",3.0,3.0,4.0
Central Ikoyi Lagos,"₦ 20,000,000",3.0,3.0,4.0
Central Ikoyi Ikoyi Lagos,"₦ 14,000,000",4.0,4.0,5.0
Central Ikoyi Lagos,"₦ 20,000,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 12,000,000",3.0,,
Banana Island Ikoyi Lagos,"₦ 26,000,000",4.0,4.0,5.0
Parkview Estate Ikoyi Lagos,"₦ 7,000,000",2.0,2.0,2.0
Old Ikoyi Ikoyi Lagos,"₦ 8,000,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 12,000,000",2.0,2.0,3.0
Parkview Estate Ikoyi Lagos,"₦ 12,000,000",3.0,3.0,4.0
Central Ikoyi Lagos,"₦ 11,000,000",3.0,3.0,4.0
Old Ikoyi Ikoyi Lagos,"₦ 12,000,000",2.0,2.0,3.0
"Right Side Remi Olowude Street, Lekki Lagos","₦ 9,000,000",2.0,2.0,2.0
Banana Island Ikoyi Lagos,"$ 20,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 30,000,000",4.0,4.0,4.0
Ikoyi Lagos,"₦ 16,000,000",3.0,3.0,4.0
Mojisola Onikoyi Estate Ikoyi Lagos,"₦ 13,000,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,4.0
Old Ikoyi Ikoyi Lagos,"₦ 10,000,000",3.0,3.0,4.0
Old Ikoyi Ikoyi Lagos,"$ 33,000",4.0,4.0,5.0
Old Ikoyi Ikoyi Lagos,"₦ 13,000,000",3.0,3.0,4.0
Off Muri Okunola Street Victoria Island Lagos,"₦ 9,000,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 8,000,000",3.0,2.0,3.0
Banana Island Ikoyi Lagos,"₦ 13,000,000",2.0,2.0,3.0
Ikota Lekki Lagos,"₦ 220,000,000",5.0,6.0,6.0
Banana Island Estate Ikoyi Lagos,"₦ 13,000,000",2.0,2.0,3.0
Old Ikoyi Lagos,"₦ 20,000,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 12,000,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"$ 20,000",3.0,3.0,4.0
Banana Island Road Banana Island Ikoyi Lagos,"₦ 14,000,000",3.0,3.0,4.0
