Location,Prices_per_year (₦ or $),Bedrooms,Baths,Toilets
Soluyi Gbagada Lagos,"₦ 1,200,000",2.0,2.0,2.0
New Road Igbo Efon Lekki Lagos,"₦ 3,000,000",2.0,3.0,3.0
Ikate Lekki Lagos,"₦ 4,500,000",0.0,0.0,0.0
Badore Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
"Chevy View Estate, Chevron Lekki Lagos","₦ 1,700,000",0.0,0.0,0.0
Badore Ajah Lagos,"₦ 500,000",0.0,0.0,0.0
Osborne Foreshore Estate Ikoyi Lagos,"₦ 10,000,000",4.0,4.0,5.0
Akoka Yaba Lagos,"₦ 300,000",0.0,1.0,1.0
Oniru Victoria Island Lagos Oniru Victoria Island Lagos,"₦ 10,000,000",3.0,0.0,0.0
Baruwa Ipaja Lagos,"₦ 800,000",2.0,2.0,2.0
Thera Annex Estate Bogije Sangotedo Lagos,"₦ 1,500,000",2.0,2.0,3.0
Abraham Adesanya Estate Ajah Lagos,"₦ 1,200,000",1.0,2.0,2.0
Badore Ajah Lagos,"₦ 450,000",0.0,0.0,0.0
Badore Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
Langbasa Ajah Lagos,"₦ 400,000",,,
Agungi By Alan Balogun Agungi Lekki Lagos,"₦ 2,800,000",3.0,3.0,4.0
Orchid Road Lekki Phase 2 Lekki Lagos,"₦ 1,700,000",,,
Parkview Estate Ikoyi Lagos,"₦ 7,000,000",3.0,3.0,4.0
Orchid Road Lekki Phase 2 Lekki Lagos,"₦ 1,500,000",1.0,1.0,2.0
Vgc Lekki Lagos,"₦ 1,300,000",0.0,0.0,0.0
Westend Ikota Lekki Lagos,"₦ 700,000",1.0,1.0,1.0
Oworoshonki Kosofe Ikosi Lagos,"₦ 400,000",0.0,0.0,0.0
Unity Estate Egbeda Alimosho Lagos,"₦ 1,500,000",2.0,2.0,2.0
Mafoluku Oshodi Lagos,"₦ 500,000",1.0,1.0,1.0
First Unity Estate Badore Ajah Lagos,"₦ 650,000",1.0,1.0,1.0
Badore Ajah Lagos,"₦ 550,000",1.0,1.0,1.0
Off Mobil Road Ilaje Ajah Lagos,"₦ 600,000",0.0,0.0,0.0
Ifako Gbagada Lagos,"₦ 400,000",0.0,1.0,1.0
Bucknor Isolo Lagos,"₦ 700,000",,,
"Ado Road, Ajah Lagos","₦ 230,000",0.0,0.0,0.0
Royal Pine Estate Orchid Chevron Lekki Lagos,"₦ 800,000",1.0,1.0,1.0
Celestial Road Ikotun Igando Lagos,"₦ 250,000",1.0,1.0,1.0
Oko Oba Agege Lagos,"₦ 800,000",0.0,0.0,0.0
Abule Egba Lagos,"₦ 1,200,000",0.0,0.0,0.0
Surulere Lagos,"₦ 700,000",0.0,1.0,1.0
Badore Ajah Lagos,"₦ 900,000",0.0,0.0,0.0
Eti Osa Lga Igbo Efon Lekki Lagos,"₦ 1,500,000",0.0,0.0,0.0
Akoka Yaba Lagos,"₦ 300,000",0.0,0.0,0.0
Ifako Gbagada Gbagada Lagos,"₦ 600,000",1.0,1.0,1.0
Mafoluku Oshodi Lagos,"₦ 450,000",0.0,1.0,1.0
Lekki Phase 1 Lekki Lagos,"₦ 25,000,000",5.0,5.0,6.0
Orchid Road Lekki Phase 2 Lekki Lagos,"₦ 2,000,000",3.0,3.0,4.0
Badore Ajah Lagos,"₦ 350,000",0.0,0.0,0.0
Happyland Estate Sangotedo Ajah Lagos,"₦ 500,000",0.0,0.0,0.0
Iponri Surulere Lagos,"₦ 400,000",0.0,1.0,1.0
Agungi Lekki Lagos,"₦ 800,000",1.0,0.0,0.0
Boet Estate Abc Bus Stop Adeniyi Jones Ikeja Lagos,"₦ 1,800,000",,1.0,1.0
Mafoluku Oshodi Lagos,"₦ 10,000",1.0,1.0,1.0
Unity Street Isuti Rd Ikotun Igando Lagos,"₦ 200,000",1.0,1.0,1.0
Mafoluku Oshodi Lagos,"₦ 1,000,000",2.0,2.0,3.0
Ipaja Lagos,"₦ 350,000",1.0,0.0,0.0
Osapa London Lekki Lagos,"₦ 800,000",0.0,0.0,0.0
Obawole Ogba Lagos,"₦ 35,000,000",2.0,0.0,0.0
Royal Pine Estate Orchid Road/lcc Opp Chevron Lekki Lagos,"₦ 800,000",0.0,1.0,1.0
Olufemi Shokan Street Off Enitan Aguda Surulere Lagos,"₦ 1,500,000",1.0,1.0,2.0
Akins Ado Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
Marshy Hill Estate Ado Ajah Lagos,"₦ 1,200,000",2.0,2.0,3.0
Langbasa L&k Estate Ado Ajah Lagos,"₦ 1,500,000",2.0,2.0,3.0
Ifako Gbagada Gbagada Lagos,"₦ 1,000,000",1.0,1.0,2.0
Gerard Road Ikoyi Lagos,"₦ 8,000,000",2.0,2.0,3.0
Ikate Lekki Lagos,"₦ 1,000,000",0.0,1.0,1.0
Banana Island Ikoyi Lagos,"₦ 12,000,000",2.0,2.0,3.0
Ikate Lekki Lagos,"₦ 650,000",,,
Sangotedo Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
"Seaside Estate, Badore Ajah Lagos","₦ 500,000",,,
Mafoluku Oshodi Lagos,"₦ 300,000",1.0,1.0,1.0
Badore Ajah Lagos,"₦ 450,000",0.0,0.0,0.0
Badore Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
Badore Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
Akowonjo Alimosho Lagos,"₦ 700,000",0.0,0.0,0.0
Meiran Abule Egba Lagos,"₦ 500,000",0.0,0.0,0.0
Badore Ajah Lagos,"₦ 450,000",0.0,0.0,0.0
Ayobo Ipaja Lagos,"₦ 850,000",0.0,0.0,0.0
Idado Estate Lekki Lagos,"₦ 1,700,000",0.0,0.0,0.0
Seaside Estate Badore Ajah Lagos,"₦ 550,000",0.0,0.0,0.0
Majek Sangotedo Lagos,"₦ 1,600,000",2.0,0.0,0.0
Orchid Road Lekki Phase 2 Lekki Lagos,"₦ 1,700,000",0.0,0.0,0.0
"Lekki County Homes, Ikota Lekki Lagos","₦ 1,500,000",0.0,0.0,0.0
Royal Plam Will Estate Badore Ajah Lagos,"₦ 700,000",0.0,0.0,0.0
"Goodness Estate, Badore Ajah Lagos","₦ 900,000",0.0,0.0,0.0
"Royal Palmwill Estate, Badore Ajah Lagos","₦ 1,200,000",2.0,2.0,3.0
"Orchid Road, Phase 2 Lekki Lagos","₦ 950,000",0.0,0.0,0.0
Ikoyi Lagos,"₦ 30,000,000",4.0,4.0,4.0
Orchid Road Lekki Phase 2 Lekki Lagos,"₦ 1,500,000",0.0,0.0,0.0
Badore Ajah Lagos,"₦ 1,200,000",0.0,0.0,0.0
Badore Ajah Lagos,"₦ 1,500,000",0.0,0.0,0.0
Badore Ajah Lagos,"₦ 2,000,000",0.0,0.0,0.0
P And T Estate Ipaja Lagos,"₦ 3,500,000",4.0,4.0,4.0
Thomas Estate Ajah Lagos,"₦ 4,000,000",4.0,0.0,0.0
Chevron Lekki Lagos,"₦ 6,000,000",4.0,0.0,0.0
Lekki Gardens Premier 3 Ikate Ikate Lekki Lagos,"₦ 60,000,000",2.0,2.0,3.0
Remlek Estate Badore Ajah Lagos,"₦ 1,200,000",0.0,0.0,0.0
Orchid Lekki Lagos,"₦ 100,000,000",4.0,0.0,0.0
Oniru Victoria Island Lagos,"₦ 7,000,000",3.0,3.0,4.0
Osapa London Lekki Lagos,"₦ 2,500,000",1.0,1.0,2.0
Osapa London Lekki Lagos,"₦ 3,000,000",3.0,3.0,4.0
Victoria Island Lagos,"₦ 10,000,000",3.0,3.0,4.0
"Docks Villa Estate, Badore Ajah Lagos","₦ 300,000",0.0,0.0,0.0
Lekki Phase 1 Lekki Lagos,"₦ 6,500,000",3.0,0.0,0.0
"Peace Estate, Aguda Surulere Lagos","₦ 2,500,000",3.0,3.0,4.0
Banana Island Ikoyi Lagos,"₦ 15,000,000",3.0,3.0,3.0
Idado Estate Idado Lekki Lagos,"₦ 3,000,000",3.0,3.0,4.0
Lekki Phase 1 Lekki Lagos,"₦ 6,500,000",3.0,3.0,4.0
Silverland Estate Sangotedo Lagos,"₦ 1,200,000",2.0,2.0,3.0
Badore Ajah Lagos,"₦ 900,000",0.0,0.0,0.0
Badore Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
Seaside Badore Ajah Lagos,"₦ 350,000",0.0,0.0,0.0
Rock Stone Estate Badore Ajah Lagos,"₦ 900,000",0.0,0.0,0.0
Off Lawason Road Surulere Lagos,"₦ 4,000,000",1.0,1.0,1.0
Rockstone Estate Badore Ajah Lagos,"₦ 1,400,000",3.0,,
Off Morocco Road Shomolu Shomolu Lagos,"₦ 2,000,000",3.0,3.0,3.0
Chevron Lekki Lagos,"₦ 1,600,000",1.0,1.0,1.0
"Idado Ext., Agungi Lekki Lagos","₦ 800,000",0.0,1.0,1.0
Remlek Estate Badore Ajah Lagos,"₦ 450,000",,,
Banana Island Ikoyi Lagos,"₦ 70,000,000",5.0,5.0,6.0
Aboru Alimosho Lagos,"₦ 900,000",3.0,3.0,3.0
Orchid Road Lekki Phase 2 Lekki Lagos,"₦ 750,000",0.0,0.0,0.0
Idado Estate Lekki Lagos,"₦ 1,000,000",0.0,0.0,0.0
Akins Estate Ado Ajah Lagos,"₦ 1,300,000",0.0,0.0,0.0
Marshall Estate Ado Ajah Lagos,"₦ 1,500,000",3.0,3.0,4.0
Marshy Hills Estate Ado Ajah Lagos,"₦ 1,200,000",2.0,2.0,3.0
Ado Ajah Lagos,"₦ 1,800,000",0.0,0.0,0.0
Royal Palmwill Estate Badore Ajah Lagos,"₦ 1,300,000",2.0,2.0,3.0
Royal Palmwill Estate Badore Ajah Lagos,"₦ 1,300,000",2.0,2.0,3.0
Idado Estate Lekki Lagos,"₦ 1,400,000",0.0,0.0,0.0
Off Adekunle Kuye Aguda Surulere Lagos,"₦ 2,000,000",3.0,3.0,4.0
Sangotedo Ajah Lagos,"₦ 1,200,000",2.0,2.0,3.0
"L&k Estate, Langbassa Ado Ajah Lagos","₦ 1,500,000",2.0,2.0,3.0
Sunny Villa Badore Ajah Lagos,"₦ 1,400,000",2.0,2.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 6,500,000",3.0,3.0,4.0
Victoria Island Lagos,"₦ 15,000,000",3.0,3.0,4.0
Badore Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
Oniru Victoria Island Lagos,"₦ 14,000,000",2.0,2.0,3.0
Osapa London Lekki Lagos,"₦ 2,500,000",0.0,0.0,0.0
Adeola Odeku Victoria Island Lagos,"₦ 17,000,000",3.0,3.0,3.0
Badore Ajah Lagos,"₦ 1,000,000",0.0,0.0,0.0
Orchid Lekki Phase 2 Lekki Lagos,"₦ 1,800,000",0.0,0.0,0.0
Chevy View Chevron Lekki Lagos,"₦ 2,000,000",0.0,0.0,0.0
"Orchid Road, Chevron Toll Gate Lekki Lagos","₦ 800,000",0.0,0.0,0.0
Adeguwa Street Aguda Suruler Aguda Surulere Lagos,"₦ 1,500,000",2.0,3.0,3.0
Chevron Lekki Lagos,"₦ 4,000,000",2.0,2.0,3.0
Estate Ado Ajah Lagos,"₦ 3,000,000",0.0,0.0,0.0
Osapa London Lekki Lagos,"₦ 1,400,000",0.0,0.0,0.0
Chevy View Chevron Lekki Lagos,"₦ 1,100,000",0.0,0.0,0.0
Diplomatic Zone Katampe Ext Abuja,"₦ 365,000,000",5.0,5.0,6.0
Idado Estate Lekki Lagos,"₦ 2,500,000",0.0,0.0,0.0
Mega Mound Estate Ikota Lekki Lagos,"₦ 850,000",0.0,0.0,0.0
Ikota Lekki Lagos,"₦ 900,000",0.0,0.0,0.0
Ikola Ipaja Lagos,"₦ 750,000",0.0,0.0,0.0
"Off Alpha Beach Road, Igbo Efon Lekki Lagos","₦ 2,000,000",0.0,0.0,0.0
Lekki Phase 1 Lekki Lagos,"₦ 8,500,000",3.0,3.0,4.0
New Road Bustop Along Lekki Expressway Lekki Lagos,"₦ 1,000,000",0.0,1.0,1.0
P And T Estate Ipaja Lagos,"₦ 1,000,000",2.0,2.0,2.0
Haruna Bus Stop Jumofak Ikorodu Lagos,"₦ 800,000",3.0,4.0,4.0
Reddignton Olokonla Ajah Lagos,"₦ 1,500,000",2.0,2.0,3.0
Badagry Lagos,"₦ 400,000",0.0,0.0,0.0
Orchid Road Lekki Phase 2 Lekki Lagos,"₦ 900,000",0.0,0.0,0.0
Sangotedo Ajah Lagos,"₦ 550,000",0.0,0.0,0.0
Agungi Ext. Osapa London Lekki Lagos,"₦ 900,000",,1.0,1.0
Raimi Street Off Oduduwa Road Kilo Marsha Surulere Lagos,"₦ 1,700,000",2.0,4.0,4.0
Badore Ajah Lagos,"₦ 1,600,000",0.0,0.0,0.0
Akinsanya Phase 1 Gbagada Lagos,"₦ 650,000",0.0,1.0,1.0
Shasha Alimosho Lagos,"₦ 1,000,000",2.0,2.0,2.0
Banana Island Ikoyi Lagos,"₦ 10,000,000",2.0,2.0,3.0
Osapa London Lekki Lagos,"₦ 1,600,000",0.0,1.0,1.0
Chevron Lekki Lagos,"₦ 900,000",0.0,0.0,0.0
Ogudu Orike Ogudu Lagos,"₦ 1,700,000",,,
Lekki County Homes Ikota Lekki Lagos,"₦ 700,000",,,
Lekki Phase 1 Lekki Lagos,"₦ 5,000,000",2.0,2.0,3.0
Gowon Estate Ipaja Lagos,"₦ 1,200,000",2.0,3.0,3.0
Chevron Lekki Lagos,"₦ 850,000",,,
Meiran Abule Egba Lagos,"₦ 700,000",0.0,0.0,0.0
Ifako Gbagada Gbagada Lagos,"₦ 2,800,000",2.0,2.0,2.0
Hiltop Estate Radio Ikorodu Lagos,"₦ 700,000",2.0,3.0,3.0
Nuru Oniwo Street Adelabu Surulere Lagos,"₦ 700,000",1.0,1.0,1.0
Alfa Bus Stop Hopeville Estate Sangotedo Ajah Lagos,"₦ 2,000,000",2.0,2.0,3.0
Amity Estate Sangotedo Ajah Lagos,"₦ 2,000,000",2.0,3.0,3.0
Mende Maryland Lagos,"₦ 700,000",0.0,1.0,1.0
Ikota Lekki Lagos,"₦ 3,500,000",3.0,4.0,4.0
"Seaside Estate, Badore Ajah Lagos","₦ 300,000",0.0,0.0,0.0
Greenville Estate Badore Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
Chevron Lekki Lagos,"₦ 1,400,000",0.0,0.0,0.0
Itire Surulere Lagos,"₦ 750,000",1.0,0.0,0.0
"United Estate ,eti Osa Sangotedo Ajah Lagos","₦ 800,000",2.0,2.0,3.0
Green Villa Estate Badore Ajah Lagos,"₦ 400,000",,,
Abiodun Berger Ojodu Lagos,"₦ 1,300,000",0.0,0.0,0.0
Banana Island Ikoyi Lagos,"₦ 30,000,000",4.0,4.0,4.0
Emcel Garden Orchid Road Chevron Lekki Lagos,"₦ 850,000",1.0,1.0,1.0
Akins Ado Road Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
Bola Shadipe Street Off Adelabu Surulere Lagos,"₦ 3,500,000",3.0,3.0,3.0
Phase 1 Gbagada Lagos,"₦ 800,000",0.0,1.0,1.0
Ikate Lekki Lagos,"₦ 8,000,000",2.0,2.0,3.0
Oniru Victoria Island Lagos,"₦ 4,500,000",2.0,2.0,3.0
Ado Ajah Lagos,"₦ 500,000",0.0,0.0,0.0
Ayobo Ipaja Lagos,"₦ 600,000",3.0,3.0,3.0
Bisis Estate Oko Oba Agege Lagos,"₦ 1,500,000",0.0,0.0,0.0
Old Ikoyi Ikoyi Lagos,"₦ 16,000,000",4.0,4.0,5.0
Millenuim Ups Gbagada Lagos,"₦ 4,000,000",3.0,3.0,4.0
Royal Plam Will Estate Badore Ajah Lagos,"₦ 900,000",0.0,0.0,0.0
"Akera Inside, Alakuko Abule Egba Lagos","₦ 450,000",0.0,0.0,0.0
Royal Plam Will Estate Badore Ajah Lagos,"₦ 900,000",0.0,0.0,0.0
Chisco Ilasan Lekki Lagos,"₦ 8,000,000",4.0,0.0,0.0
Bode Thomas Surulere Lagos,"₦ 500,000",0.0,0.0,0.0
Remlek Badore Ajah Lagos,"₦ 750,000",0.0,0.0,0.0
"Off Pedro Road, Shomolu Lagos","₦ 700,000",0.0,0.0,0.0
Babatunde Dabiri Estate Lekki Phase 1 Lekki Lagos,"₦ 1,600,000",0.0,0.0,0.0
I 3 Estate Lekki Phase 1 Lekki Lagos,"₦ 1,500,000",1.0,1.0,0.0
Redemption Close Estate Olowora Ojodu Lagos,"₦ 2,000,000",3.0,3.0,3.0
Iponri Surulere Lagos,"₦ 400,000",0.0,1.0,1.0
Idado Lekki Lagos,"₦ 800,000",0.0,1.0,1.0
Lekki Lagos,"₦ 3,000,000",0.0,0.0,0.0
Abule Ijesha Yaba Lagos,"₦ 600,000",0.0,0.0,0.0
Off Nnobi Street Kilo Marsha Surulere Lagos,"₦ 1,400,000",1.0,2.0,2.0
Before First Gate Ikota Lekki Lagos,"₦ 900,000",3.0,3.0,4.0
Ilaje Ajah Lagos,"₦ 4,000,000",0.0,5.0,5.0
Mobil Road Ilaje Ajah Lagos,"₦ 550,000",0.0,0.0,0.0
Mobil Road Ilaje Ajah Lagos,"₦ 700,000",0.0,0.0,0.0
Orchid Road Lekki Phase 2 Lekki Lagos,"₦ 900,000",0.0,0.0,0.0
"Rock Stone, Badore Ajah Lagos","₦ 450,000",,,
Agungi Estate Lekki Lagos,"₦ 1,600,000",0.0,0.0,0.0
Ikoyi Lagos,"₦ 35,000,000",3.0,3.0,4.0
"Off Ilaje Road, Bariga Lagos","₦ 400,000",0.0,1.0,1.0
Orchid Chevron Lekki Lagos,"₦ 5,000,000",3.0,0.0,0.0
"Peace Estate, Command Ipaja Lagos","₦ 1,200,000",3.0,3.0,3.0
Osapa London Lekki Lagos,"₦ 2,000,000",1.0,1.0,1.0
Salem Ikate Ikate Lekki Lagos,"₦ 2,500,000",2.0,2.0,2.0
Royal Pine Orchid Road Lekki Phase 2 Lekki Lagos,"₦ 1,800,000",0.0,0.0,0.0
"Jakande 1st Gate, By Salem Lekki Lagos","₦ 2,300,000",1.0,1.0,1.0
Salem Ikate Lekki Lagos,"₦ 2,000,000",1.0,1.0,1.0
Bucknor Isolo Lagos,"₦ 900,000",0.0,0.0,0.0
Chevron Lekki Lagos,"₦ 3,000,000",2.0,2.0,3.0
By New Road Igbo Efon Lekki Lagos,"₦ 800,000",1.0,1.0,1.0
Ilasan Lekki Lagos,"₦ 2,400,000",1.0,0.0,0.0
Off Ogunlana Ijesha Road Surulere Lagos,"₦ 2,000,000",2.0,3.0,3.0
Harris Drive Vgc Lekki Lagos,"₦ 1,200,000",0.0,0.0,0.0
Ikota Lekki Lagos,"₦ 3,200,000",4.0,4.0,4.0
Off Nnobi Road Surulere Lagos,"₦ 2,000,000",2.0,2.0,2.0
Western Avenue Surulere Lagos,"₦ 2,500,000",2.0,3.0,3.0
Old Ikoyi Ikoyi Lagos,"$ 100,000",4.0,4.0,4.0
Ogunlana Street Ijesha Surulere Lagos,"₦ 1,750,000",2.0,3.0,3.0
Ogunlana Surulere Lagos,"₦ 2,500,000",2.0,2.0,2.0
Abraham Adesanya Estate Ajah Lagos,"₦ 800,000",1.0,2.0,2.0
Iyana Ipaja Ipaja Lagos,"₦ 500,000",0.0,0.0,0.0
Baruwa Ipaja Lagos,"₦ 1,700,000",3.0,3.0,3.0
Rock Stone Estate Badore Ajah Lagos,"₦ 350,000",0.0,0.0,0.0
Ayobo Ipaja Lagos,"₦ 550,000",0.0,0.0,0.0
Abule Egba Lagos,"₦ 800,000",0.0,0.0,0.0
Mafoluku Oshodi Lagos,"₦ 350,000",1.0,1.0,1.0
Diplomatic Zone Katampe Ext Abuja,"₦ 365,000,000",5.0,5.0,6.0
Odubiyi Street Off Ashimowu Bakere Via Kilo. Kilo Marsha Surulere Lagos,"₦ 1,700,000",2.0,2.0,3.0
Unity Estate Badore Ajah Lagos,"₦ 700,000",1.0,1.0,2.0
Ilaje Ajah Lagos,"₦ 450,000",0.0,0.0,0.0
Elemu Area Close To Ago Palace Way Bucknor Isolo Lagos,"₦ 600,000",0.0,0.0,0.0
Vgc Lekki Lagos,"₦ 550,000",0.0,0.0,0.0
Femi Street Abijo Gra Sangotedo Ajah Lagos,"₦ 700,000",0.0,0.0,0.0
Marshall Hill Estate Ado Ajah Lagos,"₦ 400,000",,,
Spg Road Ologolo Ologolo Lekki Lagos,"₦ 3,000,000",2.0,2.0,3.0
Mafoluku Oshodi Lagos,"₦ 350,000",1.0,1.0,1.0
Mafoluku Oshodi Lagos,"₦ 1,400,000",2.0,2.0,3.0
Mafoluku Oshodi Lagos,"₦ 500,000",1.0,1.0,1.0
Ikate Lekki Lagos,"₦ 5,500,000",2.0,2.0,3.0
Adeniyi Jones Ikeja Lagos,"₦ 5,500,000",3.0,3.0,4.0
Oshogbo Street Off Adekunle Kuye Aguda Surulere Lagos,"₦ 1,000,000",1.0,1.0,2.0
Governors Road Ikotun Igando Lagos,"₦ 800,000",2.0,3.0,3.0
Lekki Lagos,"₦ 650,000",0.0,0.0,0.0
Destiny Home Estate Close To The Bus Stop Abijo Ajah Lagos,"₦ 1,500,000",3.0,3.0,4.0
Spg Road Ologolo Ologolo Lekki Lagos,"₦ 2,300,000",3.0,3.0,4.0
Mafoluku Oshodi Lagos,"₦ 300,000",1.0,1.0,1.0
Osapa London Lekki Lagos,"₦ 1,800,000",0.0,0.0,0.0
Osapa London Lekki Lagos,"₦ 1,800,000",0.0,0.0,0.0
Seaside Estate Badore Ajah Lagos,"₦ 500,000",0.0,0.0,0.0
Chisco Lekki Lagos,"₦ 6,000,000",2.0,2.0,3.0
Estate Badore Ajah Lagos,"₦ 2,000,000",0.0,0.0,0.0
Seaside Estate Badore Ajah Lagos,"₦ 900,000",0.0,0.0,0.0
Badore Ajah Lagos,"₦ 1,200,000",0.0,0.0,0.0
"Orchid Road, Lekki Phase 2 Lekki Lagos","₦ 900,000",,,
Ologolo Lekki Lagos,"₦ 2,500,000",0.0,0.0,0.0
Ifako Gbagada Gbagada Lagos,"₦ 1,000,000",1.0,1.0,2.0
Peace Estate Aguda Surulere Lagos,"₦ 2,500,000",3.0,3.0,4.0
Lekki Lagos,"₦ 4,000,000",2.0,2.0,3.0
Ekololu Street Off Ojuelegba Road Surulere Lagos,"₦ 1,500,000",3.0,1.0,1.0
Shomolu Lagos,"₦ 550,000",0.0,0.0,0.0
Ayobo Ipaja Lagos,"₦ 800,000",0.0,0.0,0.0
Yusufu Estate Kola Ipaja Lagos,"₦ 850,000",0.0,0.0,0.0
Chevy View Estate Chevron Lekki Lagos,"₦ 2,000,000",0.0,0.0,0.0
Chevy View Estate Chevron Lekki Lagos,"₦ 1,200,000",0.0,0.0,0.0
Off Adekunle Kuye Street Aguda Suruler Aguda Surulere Lagos,"₦ 2,500,000",3.0,3.0,3.0
Royal Pine Orchid Lekki Lagos,"₦ 2,000,000",,,
Seaside Estate Badore Ajah Lagos,"₦ 500,000",0.0,0.0,0.0
Rock Estate Badore Ajah Lagos,"₦ 300,000",0.0,0.0,0.0
Ikoyi Lagos,"₦ 30,000,000",4.0,4.0,4.0
Orchid Lekki Lagos,"₦ 2,800,000",3.0,3.0,3.0
Behind Skymall Sangotedo Ajah Lagos,"₦ 1,600,000",2.0,3.0,4.0
Unity Estate Badore Ajah Lagos,"₦ 600,000",0.0,0.0,0.0
Royal Plam Will Estate Badore Ajah Lagos,"₦ 600,000",0.0,0.0,0.0
Thomas Estate Ajah Lagos,"₦ 2,700,000",3.0,4.0,4.0
Chevyview Chevron Lekki Lagos,"₦ 1,800,000",0.0,0.0,0.0
Shomolu Lagos,"₦ 500,000",0.0,0.0,0.0
Ipaja Lagos,"₦ 400,000",0.0,0.0,0.0
Meiran Abule Egba Lagos,"₦ 800,000",2.0,2.0,2.0
"Banana Island Estate, Ikoyi Lagos","₦ 25,000,000",3.0,3.0,4.0
Goodness Estate Badore Ajah Lagos,"₦ 650,000",0.0,0.0,0.0
Ramilati Timpson Street Aguda Surulere Lagos,"₦ 700,000",3.0,2.0,2.0
Parkview Estate Ikoyi Lagos,"₦ 6,000,000",2.0,2.0,2.0
Bakevile Badore Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
"Off Fola Agoro Road, Yaba Lagos","₦ 600,000",0.0,0.0,0.0
Badore Ajah Lagos,"₦ 700,000",0.0,0.0,0.0
Chevy View Estate Lekki Phase 2 Lekki Lagos,"₦ 1,800,000",0.0,0.0,0.0
Salem Ikate Lekki Lagos,"₦ 2,300,000",0.0,0.0,0.0
"Agungi Estate, Lekki Lagos","₦ 1,500,000",0.0,0.0,0.0
"Golden Block, Olorunshola Ayobo Ipaja Lagos","₦ 200,000",0.0,0.0,0.0
Millenuim Ups Gbagada Lagos,"₦ 4,000,000",3.0,3.0,4.0
Aboru Alimosho Lagos,"₦ 1,100,000",2.0,2.0,2.0
Few Minutes To Blenco Ado Ajah Lagos,"₦ 500,000",0.0,1.0,1.0
Idado Estate Lekki Lagos,"₦ 1,800,000",0.0,0.0,0.0
Lekki County Cluster 1 Estate Ikota Lekki Lagos,"₦ 800,000",,,
Lekki Lagos,"₦ 7,500,000",0.0,0.0,0.0
Osapa London Lekki Lagos,"₦ 5,000,000",0.0,0.0,0.0
Seaside Estate Badore Ajah Lagos,"₦ 300,000",0.0,0.0,0.0
Ajao Estate Isolo Lagos,"₦ 1,000,000",0.0,0.0,0.0
Adekunle Yaba Lagos,"₦ 1,700,000",2.0,2.0,2.0
"Kayfarm Estate, Obawole Ijaiye Ifako Ogba Ogba Lagos","₦ 1,000,000",1.0,1.0,2.0
Palmgroove Estate Ilupeju Lagos,"₦ 6,500,000",4.0,4.0,4.0
Abule Egba Lagos,"₦ 1,000,000",3.0,0.0,0.0
Oniru Victoria Island Lagos,"₦ 10,000,000",3.0,3.0,4.0
Greenville Badore Ajah Lagos,"₦ 500,000",0.0,0.0,0.0
Abraham Adesanya Estate Ajah Lagos,"₦ 1,600,000",2.0,3.0,3.0
Jubirila Street Off Ijesha Road Suruler Ijesha Surulere Lagos,"₦ 1,200,000",2.0,3.0,3.0
Beckley Estate Abule Egba Lagos,"₦ 1,800,000",2.0,0.0,0.0
Abule Egba Lagos,"₦ 900,000",0.0,0.0,0.0
*at Graceland Estate Back Of Seliat Egbeda Extension.two Lane Tared Road To Isheri Idimu From The Estate Gate. Isheri Egbe Idimu Lagos,"₦ 1,250,000",2.0,3.0,0.0
Ayinde Giwa Street Off Masha Road Masha Surulere Lagos,"₦ 5,000,000",3.0,4.0,4.0
Off Omilani Street Ijesha Suruler Ijesha Surulere Lagos,"₦ 1,500,000",2.0,3.0,3.0
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"₦ 4,000,000",2.0,2.0,0.0
Silverland Estate Sangotedo Ajah. Badore Ajah Lagos,"₦ 2,000,000",2.0,2.0,3.0
Ilasan Lekki Lagos,"₦ 5,000,000",3.0,0.0,0.0
Lekki Phase Lekki Phase 1 Lekki Lagos,"₦ 8,500,000",3.0,3.0,4.0
Ikoyi Lagos,"₦ 6,000,000",1.0,1.0,2.0
"No 1 Ibironke Cresent, Parkview Estate Ikoyi Lagos","₦ 10,000,000",3.0,0.0,0.0
Westend Estate Chevron Lekki Lagos,"₦ 700,000",0.0,0.0,0.0
Ayobo Ipaja Lagos,"₦ 600,000",3.0,3.0,3.0
Victoria Island Lagos,"₦ 10,000,000",2.0,2.0,3.0
Adeola Odeku Victoria Island Lagos,"₦ 18,000,000",3.0,3.0,3.0
Osapa London Lekki Lagos,"₦ 3,500,000",2.0,2.0,3.0
Lekki Phase 1 Lekki Lagos,"₦ 1,500,000",0.0,1.0,1.0
Badore Ajah Lagos,"₦ 400,000",0.0,0.0,0.0
Oniru Victoria Island Lagos,"₦ 10,000,000",4.0,4.0,4.0
